Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,33.630001,33.759998,33.169998,33.410000,32.510693,10359100
2020-01-28,33.570000,33.860001,33.340000,33.639999,32.734493,8871000
2020-01-29,33.799999,34.040001,33.590000,33.599998,32.695576,6977700
2020-01-30,33.400002,33.450001,32.970001,33.330002,32.432846,11533000
2020-01-31,33.250000,33.490002,33.139999,33.389999,32.491230,18631400
2020-02-03,33.560001,34.340000,33.520000,33.720001,32.812344,17934700
2020-02-04,34.349998,34.820000,34.200001,34.369999,33.444851,14346300
2020-02-05,34.900002,35.450001,34.189999,35.029999,34.087086,19050400
2020-02-06,35.049999,35.099998,34.250000,34.330002,33.405926,11866300
2020-02-07,34.080002,34.160000,33.419998,33.630001,32.724770,14437100
2020-02-10,33.990002,34.299999,33.669998,34.250000,33.328079,12260600
2020-02-11,34.340000,35.259998,34.070000,35.009998,34.067623,12718600
2020-02-12,35.330002,35.790001,35.130001,35.490002,34.534706,12076300
2020-02-13,35.209999,35.529999,35.160000,35.290001,34.340088,7578400
2020-02-14,35.299999,35.389999,34.419998,34.759998,33.824352,8946000
2020-02-18,34.250000,34.740002,33.959999,34.410000,33.483772,10531000
2020-02-19,34.529999,35.099998,34.520000,34.919998,33.980042,9079500
2020-02-20,34.660000,35.400002,34.590000,35.290001,34.340088,7817900
2020-02-21,34.990002,35.080002,34.410000,34.650002,33.717312,8431500
2020-02-24,33.639999,33.750000,32.790001,33.090000,32.199306,14743100
2020-02-25,33.250000,33.279999,31.400000,31.750000,30.895374,14621900
2020-02-26,32.099998,32.610001,31.889999,32.000000,31.138643,14421900
2020-02-27,31.299999,31.920000,30.549999,30.709999,29.883364,14940400
2020-02-28,29.780001,30.500000,29.330000,30.500000,29.679020,20827000
2020-03-02,30.520000,31.450001,29.740000,31.420000,30.574257,14994600
2020-03-03,31.500000,32.299999,30.260000,30.520000,29.698483,15816200
2020-03-04,31.000000,31.570000,30.360001,31.530001,30.681295,16227800
2020-03-05,30.540001,30.770000,30.010000,30.100000,29.647095,17921300
2020-03-06,29.209999,29.540001,28.450001,28.690001,28.258310,20009500
2020-03-09,26.000000,26.120001,24.150000,24.690001,24.318499,28350600
2020-03-10,25.980000,27.139999,24.590000,27.120001,26.711933,18287700
2020-03-11,26.000000,26.620001,25.760000,26.000000,25.608786,21309700
2020-03-12,23.600000,24.350000,22.500000,23.040001,22.693325,20344500
2020-03-13,24.600000,25.330000,22.900000,24.709999,24.338196,17909800
2020-03-16,21.510000,22.410000,21.000000,21.000000,20.684019,18056800
